Timestamp,X,Y
2019.05.10.03.41.33.950,807,169
2019.05.10.03.41.33.970,807,169
2019.05.10.03.41.33.991,807,169
2019.05.10.03.41.34.010,807,169
2019.05.10.03.41.34.031,807,169
2019.05.10.03.41.34.050,807,169
2019.05.10.03.41.34.071,807,169
2019.05.10.03.41.34.091,807,169
2019.05.10.03.41.34.110,807,169
2019.05.10.03.41.34.130,807,169
2019.05.10.03.41.34.150,807,169
2019.05.10.03.41.34.172,807,169
2019.05.10.03.41.34.192,807,169
2019.05.10.03.41.34.211,807,169
2019.05.10.03.41.34.231,807,169
2019.05.10.03.41.34.250,807,169
2019.05.10.03.41.34.271,807,169
2019.05.10.03.41.34.290,807,169
2019.05.10.03.41.34.310,807,169
2019.05.10.03.41.34.330,807,169
2019.05.10.03.41.34.351,807,169
2019.05.10.03.41.34.372,807,169
2019.05.10.03.41.34.391,807,169
2019.05.10.03.41.34.411,807,169
2019.05.10.03.41.34.432,807,169
2019.05.10.03.41.34.450,807,169
2019.05.10.03.41.34.471,807,169
2019.05.10.03.41.34.491,807,169
2019.05.10.03.41.34.511,807,169
2019.05.10.03.41.34.530,807,169
2019.05.10.03.41.34.550,807,169
2019.05.10.03.41.34.571,807,169
2019.05.10.03.41.34.592,807,169
2019.05.10.03.41.34.611,807,169
2019.05.10.03.41.34.631,807,169
2019.05.10.03.41.34.651,807,169
2019.05.10.03.41.34.671,807,169
2019.05.10.03.41.34.690,807,169
2019.05.10.03.41.34.711,807,169
2019.05.10.03.41.34.731,807,169
2019.05.10.03.41.34.751,807,169
2019.05.10.03.41.34.770,807,169
2019.05.10.03.41.34.790,807,169
2019.05.10.03.41.34.811,807,169
2019.05.10.03.41.34.831,807,169
2019.05.10.03.41.34.851,805,169
2019.05.10.03.41.34.871,805,169
2019.05.10.03.41.34.890,804,169
2019.05.10.03.41.34.910,802,170
2019.05.10.03.41.34.932,799,172
2019.05.10.03.41.34.951,794,175
2019.05.10.03.41.34.971,792,176
2019.05.10.03.41.34.992,793,179
2019.05.10.03.41.35.012,804,192
2019.05.10.03.41.35.032,814,210
2019.05.10.03.41.35.051,818,224
2019.05.10.03.41.35.071,820,238
2019.05.10.03.41.35.092,822,251
2019.05.10.03.41.35.110,823,259
2019.05.10.03.41.35.130,824,263
2019.05.10.03.41.35.150,824,264
2019.05.10.03.41.35.170,824,270
2019.05.10.03.41.35.190,821,282
2019.05.10.03.41.35.211,818,292
2019.05.10.03.41.35.232,815,298
2019.05.10.03.41.35.252,811,303
2019.05.10.03.41.35.272,807,308
2019.05.10.03.41.35.291,804,311
2019.05.10.03.41.35.311,802,312
2019.05.10.03.41.35.331,802,312
2019.05.10.03.41.35.351,798,314
2019.05.10.03.41.35.371,792,318
2019.05.10.03.41.35.392,789,321
2019.05.10.03.41.35.410,786,328
2019.05.10.03.41.35.431,781,338
2019.05.10.03.41.35.451,778,347
2019.05.10.03.41.35.470,776,353
2019.05.10.03.41.35.492,775,356
2019.05.10.03.41.35.512,775,357
2019.05.10.03.41.35.530,775,357
2019.05.10.03.41.35.550,775,357
2019.05.10.03.41.35.570,775,357
2019.05.10.03.41.35.590,775,357
2019.05.10.03.41.35.610,775,357
2019.05.10.03.41.35.631,775,357
2019.05.10.03.41.35.650,775,357
2019.05.10.03.41.35.672,775,357
2019.05.10.03.41.35.691,775,357
2019.05.10.03.41.35.710,775,357
2019.05.10.03.41.35.730,775,357
2019.05.10.03.41.35.750,775,357
2019.05.10.03.41.35.771,775,357
2019.05.10.03.41.35.791,775,357
2019.05.10.03.41.35.811,775,357
2019.05.10.03.41.35.831,775,355
2019.05.10.03.41.35.850,775,350
2019.05.10.03.41.35.870,774,340
2019.05.10.03.41.35.891,774,325
2019.05.10.03.41.35.911,777,308
2019.05.10.03.41.35.932,778,290
2019.05.10.03.41.35.951,778,274
2019.05.10.03.41.35.971,778,256
2019.05.10.03.41.35.991,778,240
2019.05.10.03.41.36.010,778,228
2019.05.10.03.41.36.031,778,221
2019.05.10.03.41.36.051,778,217
2019.05.10.03.41.36.071,778,217
2019.05.10.03.41.36.090,778,217
2019.05.10.03.41.36.111,778,217
2019.05.10.03.41.36.130,778,217
2019.05.10.03.41.36.150,778,217
2019.05.10.03.41.36.170,778,217
2019.05.10.03.41.36.191,776,218
2019.05.10.03.41.36.211,771,224
2019.05.10.03.41.36.231,761,232
2019.05.10.03.41.36.252,745,242
2019.05.10.03.41.36.272,726,252
2019.05.10.03.41.36.292,705,263
2019.05.10.03.41.36.312,688,271
2019.05.10.03.41.36.331,674,278
2019.05.10.03.41.36.351,661,284
2019.05.10.03.41.36.371,649,287
2019.05.10.03.41.36.390,641,288
2019.05.10.03.41.36.411,634,288
2019.05.10.03.41.36.430,633,288
2019.05.10.03.41.36.450,633,288
2019.05.10.03.41.36.471,629,287
2019.05.10.03.41.36.490,625,285
2019.05.10.03.41.36.510,624,284
2019.05.10.03.41.36.530,624,283
2019.05.10.03.41.36.551,622,281
2019.05.10.03.41.36.572,621,279
2019.05.10.03.41.36.590,621,278
2019.05.10.03.41.36.611,621,276
2019.05.10.03.41.36.630,621,274
2019.05.10.03.41.36.650,621,273
2019.05.10.03.41.36.671,621,273
2019.05.10.03.41.36.692,621,272
2019.05.10.03.41.36.711,621,272
2019.05.10.03.41.36.731,621,272
2019.05.10.03.41.36.750,621,272
2019.05.10.03.41.36.771,621,272
2019.05.10.03.41.36.790,621,272
2019.05.10.03.41.36.810,621,272
2019.05.10.03.41.36.831,621,272
2019.05.10.03.41.36.850,621,272
2019.05.10.03.41.36.870,621,272
2019.05.10.03.41.36.892,621,272
2019.05.10.03.41.36.912,621,272
2019.05.10.03.41.36.932,621,272
2019.05.10.03.41.36.952,621,272
2019.05.10.03.41.36.972,621,272
2019.05.10.03.41.36.991,621,272
2019.05.10.03.41.37.010,621,272
2019.05.10.03.41.37.030,621,272
2019.05.10.03.41.37.050,621,272
2019.05.10.03.41.37.071,621,272
2019.05.10.03.41.37.091,621,272
2019.05.10.03.41.37.110,621,272
2019.05.10.03.41.37.131,621,272
2019.05.10.03.41.37.151,621,272
2019.05.10.03.41.37.170,621,272
2019.05.10.03.41.37.191,621,272
2019.05.10.03.41.37.211,621,272
2019.05.10.03.41.37.231,621,272
2019.05.10.03.41.37.250,621,272
2019.05.10.03.41.37.271,621,272
2019.05.10.03.41.37.290,621,272
2019.05.10.03.41.37.311,621,272
2019.05.10.03.41.37.331,621,272
2019.05.10.03.41.37.351,621,272
2019.05.10.03.41.37.371,621,272
2019.05.10.03.41.37.391,621,272
2019.05.10.03.41.37.410,621,272
2019.05.10.03.41.37.431,621,272
2019.05.10.03.41.37.451,621,272
2019.05.10.03.41.37.470,621,272
2019.05.10.03.41.37.491,621,272
2019.05.10.03.41.37.511,621,272
2019.05.10.03.41.37.531,621,272
2019.05.10.03.41.37.551,621,272
2019.05.10.03.41.37.571,621,272
2019.05.10.03.41.37.590,621,272
2019.05.10.03.41.37.610,621,272
2019.05.10.03.41.37.631,621,272
2019.05.10.03.41.37.651,621,272
2019.05.10.03.41.37.670,621,272
2019.05.10.03.41.37.692,621,272
2019.05.10.03.41.37.711,621,272
2019.05.10.03.41.37.731,621,272
2019.05.10.03.41.37.751,621,272
2019.05.10.03.41.37.772,621,272
2019.05.10.03.41.37.790,621,272
2019.05.10.03.41.37.810,621,272
2019.05.10.03.41.37.830,621,272
2019.05.10.03.41.37.850,621,272
2019.05.10.03.41.37.870,621,272
2019.05.10.03.41.37.891,621,272
2019.05.10.03.41.37.911,621,272
2019.05.10.03.41.37.931,621,272
2019.05.10.03.41.37.951,621,272
2019.05.10.03.41.37.972,621,272
2019.05.10.03.41.37.992,621,272
2019.05.10.03.41.38.011,621,272
2019.05.10.03.41.38.030,621,272
2019.05.10.03.41.38.051,621,272
2019.05.10.03.41.38.071,621,272
2019.05.10.03.41.38.090,621,272
2019.05.10.03.41.38.110,621,272
2019.05.10.03.41.38.131,621,272
2019.05.10.03.41.38.151,621,272
2019.05.10.03.41.38.172,621,272
2019.05.10.03.41.38.191,621,272
2019.05.10.03.41.38.210,621,272
2019.05.10.03.41.38.230,621,272
2019.05.10.03.41.38.252,621,272
2019.05.10.03.41.38.272,621,272
2019.05.10.03.41.38.291,621,272
2019.05.10.03.41.38.310,621,272
2019.05.10.03.41.38.330,621,272
2019.05.10.03.41.38.351,621,272
2019.05.10.03.41.38.370,621,272
2019.05.10.03.41.38.390,621,272
2019.05.10.03.41.38.412,621,272
2019.05.10.03.41.38.430,621,272
2019.05.10.03.41.38.451,621,272
